symbol,preferred_name,alternate_name,first_use,first_kanji,status,notes
午,horse_zodiac,horse_zodiac_family,lesson_31,許,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=卸,杵,許; sources=kanjivg,v4; review=human"
卬,卬_family,卬_family,lesson_92,仰,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=仰,迎; sources=kanjivg,v4; review=human"
卯,hare_zodiac,hare_zodiac_family,lesson_77,柳,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=昴,柳,貿; sources=kanjivg,v4; review=human"
厤,厤_family,厤_family,lesson_12,暦,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=0; v4_token_parents=0; sample=暦,歴; sources=kanjivg,v4; review=human"
友,friend,friend_family,lesson_39,抜,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=抜,髪; sources=kanjivg,v4; review=human"
叚,叚_family,叚_family,lesson_52,仮,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=仮,暇,蝦,霞; sources=kanjivg,v4; review=human"
君,lord,lord_family,lesson_63,群,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=0; v4_token_parents=0; sample=群,郡; sources=kanjivg,v4; review=human"
呈,display,display_family,lesson_45,聖,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=程,聖; sources=kanjivg,v4; review=human"
咸,咸_family,咸_family,lesson_20,減,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=感,減; sources=kanjivg,v4; review=human"
員,employee,employee_family,lesson_27,韻,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=円,損,隕,韻; sources=kanjivg,v4; review=human"
喬,lofty,lofty_family,lesson_24,橋,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=5; v4_token_parents=0; sample=僑,嬌,橋,矯,蕎; sources=kanjivg,v4; review=human"
因,reason,reason_family,lesson_32,姻,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=咽,姻,恩; sources=kanjivg,v4; review=human"
固,hard,hard_family,lesson_32,錮,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=個,箇,錮; sources=kanjivg,v4; review=human"
坴,坴_family,坴_family,lesson_82,陸,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=陵,陸; sources=kanjivg,v4; review=human"
垂,droop,droop_family,lesson_86,華,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=唾,睡,華; sources=kanjivg,v4; review=human"
夬,夬_family,夬_family,lesson_89,決,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=4; v4_token_parents=0; sample=快,抉,決,訣; sources=kanjivg,v4; review=human"
央,center,center_family,lesson_94,英,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=映,瑛,英; sources=kanjivg,v4; review=human"
奉,dedicate,dedicate_family,lesson_85,俸,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=俸,捧,棒; sources=kanjivg,v4; review=human"
奐,奐_family,奐_family,lesson_57,喚,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=喚,換; sources=kanjivg,v4; review=human"
奚,奚_family,奚_family,lesson_46,渓,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=渓,鶏; sources=kanjivg,v4; review=human"
奴,guy,guy_family,lesson_38,怒,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=0; v4_token_parents=0; sample=努,怒; sources=kanjivg,v4; review=human"
孝,filial_piety,filial_piety_family,lesson_68,教,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=教,酵; sources=kanjivg,v4; review=human"
害,harm,harm_family,lesson_84,轄,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=割,轄; sources=kanjivg,v4; review=human"
家,house,house_family,lesson_30,嫁,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=嫁,稼; sources=kanjivg,v4; review=human"
尃,尃_family,尃_family,lesson_03,博,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=4; v4_token_parents=0; sample=博,簿,縛,薄; sources=kanjivg,v4; review=human"
尸,尸_family,尸_family,lesson_58,漏,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=0; v4_token_parents=0; sample=殿,漏; sources=kanjivg,v4; review=human"
屈,yield,yield_family,lesson_58,掘,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=堀,掘,窟; sources=kanjivg,v4; review=human"
屋,roof,roof_family,lesson_57,握,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=握,渥; sources=kanjivg,v4; review=human"
屯,barracks,barracks_family,lesson_81,純,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=沌,純,鈍; sources=kanjivg,v4; review=human"
巨,gigantic,gigantic_family,lesson_47,拒,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=4; v4_token_parents=0; sample=拒,炬,矩,距; sources=kanjivg,v4; review=human"
巴,swirl,swirl_family,lesson_95,把,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=9; v4_token_parents=0; sample=把,杷,琶,絶,肥,色,艶,芭; sources=kanjivg,v4; review=human"
平,flat,flat_family,lesson_80,坪,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=坪,秤,評; sources=kanjivg,v4; review=human"
幵,幵_family,幵_family,lesson_37,研,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=0; v4_token_parents=0; sample=形,研; sources=kanjivg,v4; review=human"
并,并_family,并_family,lesson_56,併,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=併,瓶,餅; sources=kanjivg,v4; review=human"
広,wide,wide_family,lesson_41,拡,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=拡,鉱; sources=kanjivg,v4; review=human"
