kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
築,1370,竹,16,5,,fabricate,チク,chiku,きず-く,kizu-ku,u7bc9,u7bc9.svg,,
秩,1371,禾,10,S,,regularity,チツ,chitsu,,,u79e9,u79e9.svg,,
窒,1372,穴,11,S,,plug up,チツ,chitsu,,,u7a92,u7a92.svg,,
茶,1373,艸,9,2,,tea,チャ、サ,"cha, sa",,,u8336,u8336.svg,,
着,1374,羊,12,3,,wear,チャク、（ジャク）,"chaku, (jaku)",き-る、き-せる、つ-く、つ-ける,"ki-ru, ki-seru, tsu-ku, tsu-keru",u7740,u7740.svg,,
嫡,1375,女,14,S,,legitimate wife,チャク,chaku,,,u5ae1,u5ae1.svg,,
中,1376,丨,4,1,,middle,チュウ、（ジュウ）,"chū, (jū)",なか,naka,u4e2d,u4e2d.svg,,
仲,1377,人,6,4,,relationship,チュウ,chū,なか,naka,u4ef2,u4ef2.svg,,
虫,1378,虫,6,1,,insect,チュウ,chū,むし,mushi,u866b,u866b.svg,,
沖,1379,水,7,4,,open sea,チュウ,chū,おき,oki,u6c96,u6c96.svg,,
宙,1380,宀,8,6,,mid-air,チュウ,chū,,,u5b99,u5b99.svg,,
忠,1381,心,8,6,,loyalty,チュウ,chū,,,u5fe0,u5fe0.svg,,
抽,1382,手,8,S,,pluck,チュウ,chū,,,u62bd,u62bd.svg,,
注,1383,水,8,3,,pour,チュウ,chū,そそ-ぐ,soso-gu,u6ce8,u6ce8.svg,,
昼,1384,日,9,2,,daytime,チュウ,chū,ひる,hiru,u663c,u663c.svg,,
柱,1385,木,9,3,,pillar,チュウ,chū,はしら,hashira,u67f1,u67f1.svg,,
衷,1386,衣,9,S,,inmost,チュウ,chū,,,u8877,u8877.svg,,
酎,1387,酉,10,S,2010,sake,チュウ,chū,,,u914e,u914e.svg,,
鋳,1388,金,15,S,,casting,チュウ,chū,い-る,i-ru,u92f3,u92f3.svg,,
駐,1389,馬,15,S,,stop-over,チュウ,chū,,,u99d0,u99d0.svg,,
著,1390,艸,11,6,,renowned,チョ,cho,あらわ-す、いちじる-しい,"arawa-su, ichijiru-shii",u8457,u8457.svg,,
貯,1391,貝,12,5,,savings,チョ,cho,,,u8caf,u8caf.svg,,
丁,1392,一,2,3,,ward,チョウ、テイ,"chō, tei",,,u4e01,u4e01.svg,,
弔,1393,弓,4,S,,condolences,チョウ,chō,とむら-う,tomura-u,u5f14,u5f14.svg,,
庁,1394,广,5,6,,government office,チョウ,chō,,,u5e81,u5e81.svg,,
兆,1395,儿,6,4,,"portent, trillion",チョウ,chō,きざ-す、きざ-し,"kiza-su, kiza-shi",u5146,u5146.svg,,
町,1396,田,7,1,,town,チョウ,chō,まち,machi,u753a,u753a.svg,,
長,1397,長,8,2,,long,チョウ,chō,なが-い,naga-i,u9577,u9577.svg,,
挑,1398,手,9,S,1981,challenge,チョウ,chō,いど-む,ido-mu,u6311,u6311.svg,,
帳,1399,巾,11,3,,account book,チョウ,chō,,,u5e33,u5e33.svg,,
張,1400,弓,11,5,,stretch,チョウ,chō,は-る,ha-ru,u5f35,u5f35.svg,,
彫,1401,彡,11,S,,carve,チョウ,chō,ほ-る,ho-ru,u5f6b,u5f6b.svg,,
眺,1402,目,11,S,1981,stare,チョウ,chō,なが-める,naga-meru,u773a,u773a.svg,,
釣,1403,金,11,S,1981,angling,チョウ,chō,つ-る,tsu-ru,u91e3,u91e3.svg,,
頂,1404,頁,11,6,,place on the head,チョウ,chō,いただ-く、いただき,"itada-ku, itadaki",u9802,u9802.svg,,
鳥,1405,鳥,11,2,,bird,チョウ,chō,とり,tori,u9ce5,u9ce5.svg,,
朝,1406,月,12,2,,morning,チョウ,chō,あさ,asa,u671d,u671d.svg,,
貼,1407,貝,12,S,2010,paste,チョウ,chō,は-る,ha-ru,u8cbc,u8cbc.svg,,
超,1408,走,12,S,,transcend,チョウ,chō,こ-える、こ-す,"ko-eru, ko-su",u8d85,u8d85.svg,,
腸,1409,肉,13,6,,intestines,チョウ,chō,,,u8178,u8178.svg,,
跳,1410,足,13,S,,hop,チョウ,chō,は-ねる、と-ぶ,"ha-neru, to-bu",u8df3,u8df3.svg,,
徴,1411,彳,14,S,,indications,チョウ,chō,,,u5fb4,u5fb4.svg,,
嘲,1412,口,15,S,2010,ridicule,チョウ,chō,あざけ-る,azake-ru,u5632,u5632.svg,,
潮,1413,水,15,6,,tide,チョウ,chō,しお,shio,u6f6e,u6f6e.svg,,
澄,1414,水,15,S,,lucidity,チョウ,chō,す-む、す-ます,"su-mu, su-masu",u6f84,u6f84.svg,,
調,1415,言,15,3,,investigate,チョウ,chō,しら-べる、ととの-う、ととの-える,"shira-beru, totono-u, totono-eru",u8abf,u8abf.svg,,
