kanji,heisig_number,heisig_keyword,heisig_components,kml_primitives,primitive_count,cluster_components,collapse_to
各,311,each,walking legs; mouth,口,1,each,
格,312,status,tree; wood; each; walking legs; mouth,木|口,2,status,
賂,313,graft,shell; each; walking legs; mouth,貝|目|legs|split|口,5,graft,
略,314,abbreviation,rice field; brains; each; walking legs; mouth,田|口,2,abbreviation,
客,315,guest,house; each; walking legs; mouth,口,1,guest,
額,316,forehead,guest; house; each; walking legs; mouth; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,口|一|丶|貝|目|legs|split,7,forehead,
夏,317,summer,one; ceiling; drop; eye; walking legs,一|丶|目,3,summer,
処,318,dispose,walking legs; wind,,0,dispose,
条,319,twig,walking legs; tree; wood,木,1,twig,
落,320,fall,flowers; water; water droplets; water pistol; each; walking legs; mouth,水|口,2,fall,
冗,321,superfluous,crown; weathercock; wind,,0,superfluous,
冥,322,Hades,hades; crown; sun; six,日,1,Hades,
軍,323,army,chariot; crown; vehicle; car,,0,army,
輝,324,radiance,ray; small; little; human legs; army; chariot; crown; vehicle; car,小|legs,2,radiance,
運,325,carry,army; chariot; crown; vehicle; car; road,,0,carry,
冠,326,crown,beginning; two; human legs; glue,一|legs,2,crown,
夢,327,dream,flowers; eye; cross-eyed; net; crown; evening,目|evening,2,dream,
坑,328,pit,soil; dirt; ground; whirlwind; top hat; wind,土|lid,2,pit,
高,329,tall,top hat; mouth; alien; hood; mouth,lid|口,2,tall,
享,330,receive,tall; top hat; mouth; children,lid|口,2,receive,
塾,331,cram school,receive; tall; top hat; mouth; child; children; round; nine; baseball; drop; soil; dirt; ground,lid|口|子|ball|丶|土,6,cram school,
熟,332,mellow,receive; tall; top hat; mouth; child; children; round; nine; baseball; drop; oven-fire; barbecue,lid|口|子|ball|丶,5,mellow,
亭,333,pavilion,tall; top hat; mouth; crown; street; nail; spike,lid|口,2,pavilion,
京,334,capital,tall; top hat; mouth; small; little,lid|口|小,3,capital,
涼,335,refreshing,water droplets; water pistol capital; tall; top hat; mouth; small; little,lid|口|小,3,refreshing,
景,336,scenery,sun; capital; tall; top hat; mouth; small; little,日|lid|口|小,4,scenery,
鯨,337,whale,fish; bound up; rice field; brains; oven-fire; barbecue; capital; tall; top hat; mouth; small; little,田|lid|口|小,4,whale,
舎,338,cottage,umbrella; earthenware jar; lidded crock; soil; dirt; ground; mouth,土|口,2,cottage,
周,339,circumference,glass hood; earthenware jar; lidded crock; soil; dirt; ground; mouth,土|口,2,circumference,
週,340,week,circumference; running track; earthenware jar; lidded crock; soil; dirt; ground; mouth; road,土|口,2,week,
士,341,gentleman,samurai,,0,gentleman,
吉,342,good luck,samurai; mouth,口,1,good luck,
壮,343,robust,turtle; samurai,,0,robust,
荘,344,villa,flowers; robust; turtle; samurai,,0,villa,
売,345,sell,samurai; paper punch; Miss World; crown; human legs,legs,1,sell,
学,346,study,schoolhouse; owl; crown; child,子,1,study,
覚,347,memorize,schoolhouse; owl; crown; see; telescope; eye; human legs,目|legs,2,memorize,
栄,348,flourish,schoolhouse; owl; crown; tree; wood,木,1,flourish,
書,349,write,brush; tongue wagging; sun;sun,1,,write,
津,350,haven,water; water droplets; water pistol; brush,水,1,haven,
牧,351,breed,cow; taskmaster,,0,breed,
攻,352,aggression,craft; taskmaster,,0,aggression,
敗,353,failure,shell; taskmaster,貝|目|legs|split,4,failure,
枚,354,a sheet of,sheet of…; tree; wood; taskmaster,木,1,a sheet of,
故,355,happenstance,old; tombstone; gravestone; church; ten; needle; mouth; taskmaster,十|口,2,happenstance,
敬,356,awe,flowers; phrase; bound up; mouth; taskmaster,口,1,awe,
言,357,say,words; keitai; mouth,口,1,say,
警,358,admonish,awe; flowers; phrase; bound up; mouth; taskmaster; say; words; keitai; mouth,口,1,admonish,
計,359,plot,say; words; keitai; mouth; ten; needle,口|十,2,plot,
詮,360,elucidate,say; words; keitai; mouth; whole; umbrella; king; jewel; ball,口|ball,2,elucidate,
獄,361,prison,pack of wild dogs; say; words; keitai; mouth; chihuahua; dog; large; drop,口|丶,2,prison,
訂,362,revise,say; words; keitai; mouth; street; nail; spike,口,1,revise,
訃,363,obituary,,,0,obituary,
討,364,chastise,say; words; keitai; mouth; glue,口,1,chastise,
訓,365,instruction,say; words; keitai; mouth; stream; flood,口,1,instruction,
詔,366,imperial edict,say; words; keitai; mouth; summon; seduce; sword; dagger; mouth,口,1,imperial edict,
詰,367,packed,say; words; keitai; mouth; aerosol; good luck; samurai; mouth,口,1,packed,
話,368,tale,say; words; keitai; mouth; tongue; thousand; mouth,口,1,tale,
詠,369,recitation,say; words; keitai; mouth; eternity; drop; water,口|丶|水,3,recitation,
詩,370,poem,say; words; keitai; mouth; Buddhist temple; soil; dirt; ground; glue,口|土,2,poem,
語,371,word,say; words; keitai; mouth; I; five; mouth,口|five,2,word,
読,372,read,say; words; keitai; mouth; sell; sale; samurai; paper punch; Miss World; crown; human legs,口|legs,2,read,
調,373,tune,say; words; keitai; mouth; circumference; running track; soil; dirt; ground; mouth,口|土,2,tune,
談,374,discuss,say; words; keitai; mouth; inflammation; fire,口|火,2,discuss,
諾,375,consent,say; words; keitai; mouth; young; flowers; by one’s side; mouth,口,1,consent,
諭,376,rebuke,say; words; keitai; mouth; meeting of butchers; moon; sword; sabre; saber,口|月,3,rebuke,
式,377,style,arrow; craft,,0,style,
試,378,test,say; words; keitai; mouth; style; arrow; craft,口,1,test,
弐,379,II (two),II; two; arrows; quiver,一,1,II (two),
域,380,range,soil; dirt; ground; pope; fiesta; mouth; one; floor,土|口|一,3,range,
賊,381,burglar,shell; ten; needle; fiesta,貝|目|legs|split|十,5,burglar,
