kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
蔑,1806,艸,14,S,ignore,ベツ,さげす-む
片,1807,片,4,6,one-sided,ヘン,かた
辺,1808,辵,5,4,environs,ヘン,あた-り、べ
返,1809,辵,7,3,return,ヘン,かえ-す、かえ-る
変,1810,言,9,4,change,ヘン,か-わる、か-える
偏,1811,人,11,S,partial,ヘン,かたよ-る
遍,1812,辵,12,S,everywhere,ヘン,
編,1813,糸,15,5,compile,ヘン,あ-む
弁,1814,辛,5,5,valve,ベン,
便,1815,人,9,4,convenience,ベン、ビン,たよ-り
勉,1816,力,10,3,exertion,ベン,
歩,1817,止,8,2,walk,ホ、ブ、（フ）,ある-く、あゆ-む
保,1818,人,9,5,preserve,ホ,たも-つ
哺,1819,口,10,S,suckle,ホ,
捕,1820,手,10,S,catch,ホ,と-らえる、と-らわれる、と-る、つか-まえる、つか-まる
補,1821,衣,12,6,supplement,ホ,おぎな-う
舗,1822,舌,15,S,pavement,ホ,
母,1823,毋,5,2,mother,ボ,はは
募,1824,力,12,S,recruit,ボ,つの-る
墓,1825,土,13,5,grave,ボ,はか
慕,1826,心,14,S,pining,ボ,した-う
暮,1827,日,14,6,livelihood,ボ,く-れる、く-らす
簿,1828,竹,19,S,register,ボ,
方,1829,方,4,2,direction,ホウ,かた
包,1830,勹,5,4,wrap,ホウ,つつ-む
芳,1831,艸,7,S,perfume,ホウ,かんば-しい
邦,1832,邑,7,S,home country,ホウ,
奉,1833,大,8,S,observance,ホウ、（ブ）,たてまつ-る
宝,1834,宀,8,6,treasure,ホウ,たから
抱,1835,手,8,S,embrace,ホウ,だ-く、いだ-く、かか-える
放,1836,攴,8,3,release,ホウ,はな-す、はな-つ、はな-れる、ほう-る
法,1837,水,8,4,method,ホウ、（ハッ）、（ホッ）,
泡,1838,水,8,S,bubbles,ホウ,あわ
胞,1839,肉,9,S,placenta,ホウ,
俸,1840,人,10,S,salary,ホウ,
倣,1841,人,10,S,emulate,ホウ,なら-う
峰,1842,山,10,S,summit,ホウ,みね
砲,1843,石,10,S,cannon,ホウ,
崩,1844,山,11,S,crumble,ホウ,くず-れる、くず-す
訪,1845,言,11,6,visit,ホウ,おとず-れる、たず-ねる
報,1846,土,12,5,report,ホウ,むく-いる
蜂,1847,虫,13,S,bee,ホウ,はち
豊,1848,豆,13,5,bountiful,ホウ,ゆた-か
飽,1849,食,13,S,sated,ホウ,あ-きる、あ-かす
褒,1850,衣,15,S,praise,ホウ,ほ-める
縫,1851,糸,16,S,sew,ホウ,ぬ-う
亡,1852,亠,3,6,deceased,ボウ、（モウ）,な-い
乏,1853,丿,4,S,scarce,ボウ,とぼ-しい
忙,1854,心,6,S,busy,ボウ,いそが-しい
坊,1855,土,7,S,boy,ボウ、（ボッ）,
妨,1856,女,7,S,disturb,ボウ,さまた-げる
忘,1857,心,7,6,forget,ボウ,わす-れる
防,1858,阜,7,5,prevent,ボウ,ふせ-ぐ
房,1859,戶,8,S,tassel,ボウ,ふさ
肪,1860,肉,8,S,obese,ボウ,
某,1861,木,9,S,so-and-so,ボウ,
冒,1862,冂,9,S,risk,ボウ,おか-す
剖,1863,刀,10,S,divide,ボウ,
紡,1864,糸,10,S,spinning,ボウ,つむ-ぐ
望,1865,月,11,4,hope,ボウ、モウ,のぞ-む
傍,1866,人,12,S,bystander,ボウ,かたわ-ら
帽,1867,巾,12,S,cap,ボウ,
棒,1868,木,12,6,rod,ボウ,
貿,1869,貝,12,5,trade,ボウ,
貌,1870,豸,14,S,appearance,ボウ,
暴,1871,日,15,5,outburst,ボウ、（バク）,あば-く、あば-れる
膨,1872,肉,16,S,swell,ボウ,ふく-らむ、ふく-れる
謀,1873,言,16,S,conspire,ボウ、（ム）,はか-る
頰,1874,頁,16,S,cheek,,ほお
北,1875,匕,5,2,north,ホク,きた
木,1876,木,4,1,tree,ボク、モク,き、（こ）
朴,1877,木,6,S,crude,ボク,
牧,1878,牛,8,4,breed,ボク,まき
睦,1879,目,13,S,harmonious,ボク,
僕,1880,人,14,S,me,ボク,
墨,1881,土,14,S,black ink,ボク,すみ
撲,1882,手,15,S,slap,ボク,
没,1883,水,7,S,drown,ボツ,
勃,1884,力,9,S,rise,ボツ,
堀,1885,土,11,S,ditch,,ほり
本,1886,木,5,1,book,ホン,もと
奔,1887,大,8,S,bustle,ホン,
翻,1888,飛,18,S,flip,ホン,ひるがえ-る、ひるがえ-す
凡,1889,几,3,S,mediocre,ボン、（ハン）,
盆,1890,皿,9,S,basin,ボン,
麻,1891,麻,11,S,hemp,マ,あさ
摩,1892,手,15,S,chafe,マ,
磨,1893,石,16,S,grind,マ,みが-く
魔,1894,鬼,21,S,witch,マ,
毎,1895,毋,6,2,every,マイ,
妹,1896,女,8,2,younger sister,マイ,いもうと
枚,1897,木,8,6,sheet of...,マイ,
昧,1898,日,9,S,foolish,マイ,
埋,1899,土,10,S,bury,マイ,う-める、う-まる、う-もれる
幕,1900,巾,13,6,curtain,マク、バク,
膜,1901,肉,14,S,membrane,マク,
枕,1902,木,8,S,pillow,,まくら
又,1903,又,2,S,or again,,また
末,1904,木,5,4,end,マツ、バツ,すえ
抹,1905,手,8,S,rub,マツ,
万,1906,艸,3,2,ten thousand,マン、バン,
満,1907,水,12,4,full,マン,み-ちる、み-たす
慢,1908,心,14,S,ridicule,マン,
漫,1909,水,14,S,cartoon,マン,
未,1910,木,5,4,not yet,ミ,
味,1911,口,8,3,flavor,ミ,あじ、あじ-わう
魅,1912,鬼,15,S,fascination,ミ,
岬,1913,山,8,S,headland,,みさき
密,1914,宀,11,6,secrecy,ミツ,
蜜,1915,虫,14,S,honey,ミツ,
脈,1916,肉,10,5,vein,ミャク,
妙,1917,女,7,S,exquisite,ミョウ,
民,1918,氏,5,4,people,ミン,たみ
眠,1919,目,10,S,sleep,ミン,ねむ-る、ねむ-い
矛,1920,矛,5,S,halberd,ム,ほこ
務,1921,力,11,5,duty,ム,つと-める、つと-まる
無,1922,火,12,4,nothing,ム、ブ,な-い
夢,1923,夕,13,5,dream,ム,ゆめ
霧,1924,雨,19,S,fog,ム,きり
娘,1925,女,10,S,daughter,,むすめ
名,1926,口,6,1,name,メイ、ミョウ,な
命,1927,口,8,3,fate,メイ、ミョウ,いのち
明,1928,日,8,2,bright,メイ、ミョウ,あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす
迷,1929,辵,9,5,astray,メイ,まよ-う
冥,1930,冖,10,S,dark,メイ、ミョウ,
盟,1931,皿,13,6,alliance,メイ,
銘,1932,金,14,S,inscription,メイ,
鳴,1933,鳥,14,2,chirp,メイ,な-く、な-る、な-らす
滅,1934,水,13,S,destroy,メツ,ほろ-びる、ほろ-ぼす
免,1935,儿,8,S,excuse,メン,まぬか-れる
面,1936,面,9,3,face,メン,おも、おもて、つら
綿,1937,糸,14,5,cotton,メン,わた
麺,1938,麥,16,S,noodles,メン,
茂,1939,艸,8,S,overgrown,モ,しげ-る
模,1940,木,14,6,imitation,モ、ボ,
毛,1941,毛,4,2,hair,モウ,け
妄,1942,女,6,S,delusion,モウ、ボウ,
盲,1943,目,8,S,blind,モウ,
耗,1944,耒,10,S,decrease,モウ、（コウ）,
猛,1945,犬,11,S,fierce,モウ,
網,1946,糸,14,S,netting,モウ,あみ
目,1947,目,5,1,eye,モク、（ボク）,め、（ま）
黙,1948,黑,15,S,silence,モク,だま-る
門,1949,門,8,2,gates,モン,かど
紋,1950,糸,10,S,family crest,モン,
問,1951,口,11,3,question,モン,と-う、と-い、（とん）
冶,1952,冫,7,S,melting,ヤ,
夜,1953,夕,8,2,night,ヤ,よ、よる
野,1954,里,11,2,field,ヤ,の
弥,1955,弓,8,S,all the more,,や
厄,1956,厂,4,S,unlucky,ヤク,
役,1957,彳,7,3,service,ヤク、エキ,
約,1958,糸,9,4,promise,ヤク,
訳,1959,言,11,6,translate,ヤク,わけ
薬,1960,艸,16,3,medicine,ヤク,くすり
躍,1961,足,21,S,leap,ヤク,おど-る
闇,1962,門,17,S,darkness,,やみ
由,1963,田,5,3,reason,ユ、ユウ、（ユイ）,よし
油,1964,水,8,3,oil,ユ,あぶら
喩,1965,口,12,S,metaphor,ユ,
愉,1966,心,12,S,pleasure,ユ,
諭,1967,言,16,S,rebuke,ユ,さと-す
輸,1968,車,16,5,transport,ユ,
癒,1969,疒,18,S,healing,ユ,い-える、い-やす
唯,1970,口,11,S,solely,ユイ、（イ）,
友,1971,又,4,2,friend,ユウ,とも
有,1972,月,6,3,have,ユウ、ウ,あ-る
勇,1973,力,9,4,courage,ユウ,いさ-む
幽,1974,幺,9,S,seclude,ユウ,
悠,1975,心,11,S,permanence,ユウ,
郵,1976,邑,11,6,mail,ユウ,
湧,1977,水,12,S,boil,ユウ,わ-く
猶,1978,犬,12,S,furthermore,ユウ,
裕,1979,衣,12,S,abundant,ユウ,
遊,1980,辵,12,3,play,ユウ、（ユ）,あそ-ぶ
雄,1981,隹,12,S,male,ユウ,お、おす
誘,1982,言,14,S,entice,ユウ,さそ-う
